kegg	drugbank
D00504	DB01121
D00380	DB01124
D07457	DB01125
D03820	DB01126
D03936	DB01127
D00961	DB01128
D08463	DB01129
D08378	DB01132
D00760	DB01135
D00255	DB01136
D08120	DB01137
D00449	DB01138
D00257	DB01140
D02465	DB01141
D07875	DB01142
D00518	DB01144
D07862	DB01146
D08257	DB01149
D07791	DB01151
D03347	DB01152
D06106	DB01154
D08012	DB01155
D07591	DB01156
D06238	DB01157
D00645	DB01158
D00542	DB01159
D01352	DB01160
D07678	DB01161
D08569	DB01162
D02888	DB01163
D00453	DB01165
D01896	DB01166
D00350	DB01167
D08423	DB01168
D02106	DB01169
D02237	DB01170
D02561	DB01171
D08305	DB01173
D00506	DB01174
D03621	DB01176
D00268	DB01178
D00198	DB01180
D00343	DB01181
D08435	DB01182
D08249	DB01183
D01745	DB01184
D00327	DB01185
D03488	DB01188
D00546	DB01189
D00277	DB01190
D07805	DB01191
D08323	DB01192
D02338	DB01193
D00652	DB01194
D07962	DB01195
D04066	DB01196
D00251	DB01197
D01372	DB01198
D03165	DB01200
D00879	DB01201
D00709	DB01202
D00432	DB01203
D08224	DB01204
D00697	DB01205
D00363	DB01206
D00590	DB01208
D00838	DB01209
D00276	DB01211
D07659	DB01212
D00707	DB01213
D02374	DB01214
D00311	DB01215
D00321	DB01216
D00960	DB01217
D02347	DB01219
D02554	DB01220
D08098	DB01221
D00246	DB01222
D00227	DB01223
D08456	DB01224
D07510	DB01225
D04716	DB01227
D07894	DB01228
D00491	DB01229
D00744	DB01230
D03858	DB01231
D00429	DB01232
D00726	DB01233
D00292	DB01234
D00059	DB01235
D00547	DB01236
D01164	DB01238
D00790	DB01239
D00106	DB01240
D00334	DB01241
D00811	DB01242
D03472	DB01243
D07520	DB01244
D07125	DB01246
D02580	DB01247
D02165	DB01248
D01474	DB01249
D00727	DB01250
D02430	DB01251
D01854	DB01252
D07905	DB01253
D03658	DB01254
D04024	DB01259
D03696	DB01260
D08516	DB01261
D03665	DB01262
D02555	DB01263
D03656	DB01264
D06675	DB01265
D05339	DB01267
D06402	DB01268
D05697	DB01270
D03207	DB01272
D07463	DB01274
D08044	DB01275
D04121	DB01276
D04870	DB01277
D05595	DB01278
D05134	DB01280
D03203	DB01281
D07229	DB01282
D03714	DB01283
D00284	DB01284
D00146	DB01285
D04157	DB01288
D00728	DB01294
D04334	DB01296
D05587	DB01297
D00580	DB01299
D02282	DB01301
D02017	DB01303
D04475	DB01306
D04539	DB01307
D04540	DB01309
D02497	DB01319
D07993	DB01320
D01235	DB01321
D00657	DB01324
D00461	DB01325
D02344	DB01326
D02299	DB01327
D07644	DB01328
D00260	DB01330
D02345	DB01331
D00264	DB01333
D07699	DB01340
D04243	DB01342
D08403	DB01345
D08529	DB01348
D00555	DB01351
D00698	DB01352
D02618	DB01353
D01071	DB01355
D00575	DB01357
D08074	DB01359
D01817	DB01362
D00124	DB01364
D08180	DB01365
D08469	DB01367
D00852	DB01369
D01867	DB01375
D01167	DB01377
D00973	DB01380
D07464	DB01384
D01203	DB01390
D01366	DB01393
D00570	DB01394
D03917	DB01395
D00297	DB01396
D00428	DB01399
D08261	DB01400
D00403	DB01403
D02469	DB01405
