drug	uniprot
DB00637 	 Q12809
DB00637 	 O95259
DB00637 	 P10636
DB00638 	 Q9F0I5
DB00640 	 P29274
DB00640 	 P29275
DB00640 	 P0DMS8
DB00640 	 P30542
DB00641 	 P04035
DB00641 	 P20701
DB00641 	 Q92769
DB00642 	 P04818
DB00642 	 P31939
DB00642 	 P00374
DB00642 	 P22102
DB00643 	 Q71U36
DB00643 	 P68371
DB00644 	 P30968
DB00644 	 Q96P88
DB00645 	 Q9Y5Y9
DB00647 	 P35372
DB00647 	 P41143
DB00647 	 P41145
DB00647 	 P23141
DB00648 	 P15538
DB00648 	 P10109
DB00648 	 P03372
DB00648 	 P06401
DB00648 	 P10275
DB00649 	 Q72547
DB00651 	 Q07343
DB00651 	 P27815
DB00651 	 Q08493
DB00651 	 Q08499
DB00651 	 P30542
DB00651 	 P29274
DB00652 	 P35372
DB00652 	 P41145
DB00652 	 Q99720
DB00653 	 Q13936
DB00654 	 P43088
DB00655 	 P03372
DB00655 	 Q92731
DB00655 	 P10275
DB00655 	 P11511
DB00655 	 P04278
DB00656 	 P28223
DB00656 	 P28335
DB00656 	 P31645
DB00656 	 P08908
DB00656 	 P35367
DB00656 	 P35348
DB00656 	 P08913
DB00656 	 P08909
DB00657 	 Q15822
DB00657 	 P36544
DB00657 	 P43681
DB00657 	 P17787
DB00659 	 P14867
DB00659 	 Q05586
DB00659 	 P41594
DB00661 	 Q13936
DB00661 	 Q00975
DB00661 	 O00555
DB00661 	 Q14654
DB00661 	 O43497
DB00661 	 O95180
DB00661 	 Q12809
DB00661 	 P31645
DB00661 	 P35348
DB00661 	 P35368
DB00661 	 P25100
DB00663 	 P04150
DB00664 	 Q27738
DB00665 	 P10275
DB00666 	 P30968
DB00666 	 Q96P88
DB00668 	 P35348
DB00668 	 P35368
DB00668 	 P08588
DB00668 	 P07550
DB00668 	 P08913
DB00668 	 P18089
DB00668 	 P25100
DB00668 	 P01375
DB00669 	 P28221
DB00669 	 P28222
DB00669 	 P30939
DB00669 	 P08908
DB00670 	 P11229
DB00671 	 P44469
DB00672 	 Q09428
DB00673 	 P25103
DB00674 	 P22303
DB00674 	 P36544
DB00674 	 A9X444
DB00674 	 P06276
DB00675 	 P03372
DB00675 	 Q92731
DB00675 	 Q15125
DB00675 	 P17252
DB00675 	 P10275
DB00675 	 Q12809
DB00675 	 O75469
DB00675 	 P62508
DB00675 	 P04278
DB00675 	 P45983
DB00677 	 P22303
DB00677 	 P06276
DB00677 	 P02787
DB00678 	 P30556
DB00679 	 P14416
DB00679 	 P21728
DB00679 	 P35348
DB00679 	 P35368
DB00679 	 P28223
DB00679 	 Q12809
DB00680 	 Q14524
DB00682 	 Q9BQB6
DB00682 	 O75469
DB00683 	 P14867
DB00683 	 P14867
DB00684 	 P0A7S3
DB00685 	 P43700
DB00685 	 P43702
DB00685 	 P11388
DB00686 	 P09038
DB00686 	 P05230
DB00686 	 P08620
DB00687 	 P08235
DB00687 	 P04150
DB00688 	 P20839
DB00688 	 P12268
DB00688 	 Q03393
DB00689 	 P02919
DB00690 	 P14867
DB00690 	 P14867
DB00691 	 P12821
DB00692 	 P08913
DB00692 	 P35348
DB00692 	 P35368
DB00692 	 P25100
DB00693 	 P06310
DB00694 	 P11388
DB00694 	 Q02880
DB00695 	 Q13621
DB00695 	 P00918
DB00695 	 Q9HC97
DB00696 	 P28221
DB00696 	 P28222
DB00696 	 P28223
DB00696 	 P14416
DB00696 	 P35348
DB00696 	 P35368
DB00696 	 P25100
DB00696 	 P08913
DB00696 	 P21728
DB00696 	 P08908
DB00696 	 P30939
DB00696 	 P28335
DB00696 	 P41595
DB00696 	 P18825
DB00697 	 P08913
DB00697 	 Q9Y2I1
DB00697 	 P35348
DB00698 	 P52647
DB00698 	 P17117
DB00698 	 P0A7R5
DB00699 	 P35348
DB00700 	 P08235
DB00701 	 Q72874
DB00703 	 P00915
DB00703 	 P22748
DB00703 	 P00918
DB00703 	 P43166
DB00703 	 P07451
DB00704 	 P41143
DB00704 	 P35372
DB00704 	 P41145
DB00704 	 Q5T1J1
DB00705 	 Q72547
DB00706 	 P35348
DB00706 	 P25100
DB00706 	 P35368
DB00707 	 P01130
DB00707 	 P12314
DB00708 	 P35372
DB00708 	 P41143
DB00708 	 P41145
DB00709 	 Q72547
DB00709 	 Q05486
DB00710 	 P14324
DB00710 	 O95749
DB00711 	 P09917
DB00711 	 P23219
DB00712 	 P23219
DB00712 	 P35354
DB00713 	 Q75Y35
DB00713 	 Q8DNB6
DB00713 	 Q8DR59
DB00713 	 P0A3M6
DB00713 	 Q7CRA4
DB00713 	 Q8XJ01
DB00713 	 P46059
DB00713 	 D6R448
DB00713 	 Q16348
DB00714 	 P21917
DB00714 	 P14416
DB00714 	 P35462
DB00714 	 P21918
DB00714 	 P21728
DB00714 	 P18825
DB00714 	 P18089
DB00714 	 P08908
DB00714 	 P28223
DB00714 	 P41595
DB00714 	 P28335
DB00714 	 P08913
DB00714 	 P28221
DB00714 	 P28222
DB00715 	 P31645
DB00715 	 P23975
DB00715 	 P28223
DB00715 	 P35348
DB00715 	 P08913
DB00715 	 P08588
DB00715 	 P14416
DB00715 	 P35367
DB00715 	 P08908
DB00715 	 P11229
DB00715 	 P41595
DB00715 	 P21728
DB00716 	 Q9Y271
DB00716 	 Q9NS75
DB00716 	 P21462
DB00716 	 Q13258
DB00716 	 P07900
DB00717 	 P06401
DB00717 	 P10275
DB00717 	 P04150
DB00718 	 P24024
DB00719 	 P35367
DB00720 	 P12235
DB00720 	 P05141
DB00720 	 P12236
DB00721 	 Q9Y5Y9
DB00721 	 Q8TCU5
DB00721 	 P46098
DB00721 	 Q01959
DB00721 	 Q15822
DB00721 	 Q12791
DB00721 	 P47712
DB00721 	 Q86U10
DB00721 	 P21397
DB00721 	 P26358
DB00721 	 Q9Y6K1
DB00722 	 P12821
DB00722 	 P00797
DB00723 	 P35348
DB00723 	 P35368
DB00723 	 P25100
DB00724 	 Q9NYK1
DB00724 	 Q9NR97
DB00725 	 P08172
DB00725 	 P11229
DB00725 	 P08173
DB00725 	 P08912
DB00725 	 P20309
DB00726 	 P31645
DB00726 	 P23975
DB00726 	 Q01959
DB00726 	 P28223
DB00726 	 P08908
DB00726 	 P35348
DB00726 	 P35368
DB00726 	 P14416
DB00726 	 P18089
DB00726 	 P35367
DB00726 	 P28335
DB00726 	 P46098
DB00726 	 P28221
DB00726 	 P08913
DB00726 	 P21728
DB00726 	 P08588
DB00726 	 P11229
DB00726 	 P08909
DB00727 	 P16066
DB00728 	 Q15822
DB00728 	 P08172
DB00728 	 P46098
DB00730 	 P00363
DB00731 	 Q09428
DB00731 	 P37231
DB00732 	 Q15822
DB00733 	 P22303
DB00733 	 P06276
DB00734 	 P28223
DB00734 	 P14416
DB00734 	 P35368
DB00734 	 P18089
DB00734 	 P35348
DB00734 	 P18825
DB00734 	 P35367
DB00734 	 P28335
DB00734 	 P28221
DB00734 	 P08908
DB00734 	 P34969
DB00734 	 P21728
DB00735 	 Q14534
DB00736 	 P20648
DB00736 	 O94760
DB00737 	 P35367
DB00737 	 Q14994
DB00738 	 O14717
DB00739 	 Q8DNB6
DB00739 	 Q7CRA4
DB00739 	 Q75Y35
DB00739 	 Q8DR59
DB00739 	 P0A3M6
DB00740 	 Q14524
DB00740 	 Q9UPY5
DB00741 	 P04150
DB00741 	 P04083
DB00744 	 P09917
DB00745 	 Q01959
DB00745 	 P35368
DB00746 	 P05067
DB00747 	 P11229
DB00747 	 P14410
DB00747 	 P08172
DB00747 	 P20309
DB00747 	 P08173
DB00747 	 P08912
DB00747 	 P43681
DB00747 	 P17787
DB00748 	 P35367
DB00749 	 P35354
DB00749 	 P23219
DB00749 	 P19793
DB00750 	 Q14524
DB00751 	 P35367
DB00751 	 P25021
DB00751 	 P35348
DB00751 	 P08913
DB00751 	 P28223
DB00751 	 P34969
DB00752 	 P27338
DB00752 	 P21397
DB00753 	 P14867
DB00753 	 P98194
DB00753 	 P23415
DB00753 	 P42261
DB00753 	 Q09470
DB00753 	 P30049
DB00753 	 P0DP23
DB00753 	 P14867
DB00753 	 P43681
DB00753 	 P17787
DB00754 	 Q14524
DB00754 	 O75469
DB00755 	 P28702
DB00755 	 P48443
DB00755 	 P13631
DB00755 	 P00352
DB00755 	 Q8NFJ5
DB00755 	 O94788
DB00755 	 P49788
DB00755 	 P10276
DB00755 	 P10826
DB00755 	 P31025
DB00755 	 Q9NY56
DB00755 	 P02753
DB00755 	 Q16654
DB00755 	 P19793
DB00755 	 O43174
DB00755 	 Q9NR63
DB00755 	 Q6V0L0
DB00755 	 O60760
DB00756 	 P06149
DB00756 	 O14521
DB00756 	 P00367
DB00756 	 P03372
DB00757 	 P46098
DB00758 	 Q9H244
DB00759 	 P02359
DB00759 	 P0AG59
DB00759 	 P0A7V3
DB00759 	 P0A7W7
DB00759 	 P0A7U3
DB00759 	 P04156
DB00759 	 C9EH48
DB00759 	 Q9UM07
DB00760 	 P24228
DB00761 	 P55011
DB00761 	 Q13621
DB00761 	 Q9H2X9
DB00761 	 Q9UHW9
DB00761 	 Q9Y666
DB00761 	 Q9UP95
DB00762 	 P11387
DB00762 	 Q969P6
DB00763 	 P07202
DB00764 	 P04150
DB00764 	 P06401
DB00765 	 P07101
DB00767 	 P35367
DB00767 	 P08173
DB00767 	 P11229
DB00767 	 P08912
DB00767 	 P08172
DB00767 	 P20309
DB00768 	 P35367
DB00768 	 P25021
DB00768 	 Q9Y5N1
DB00768 	 P23297
DB00768 	 P80511
DB00768 	 P04271
DB00768 	 Q99584
DB00768 	 P29034
DB00769 	 P04150
DB00770 	 P43116
DB00770 	 P34995
DB00770 	 Q9Y5Y4
DB00771 	 P11229
DB00772 	 P06276
DB00773 	 P11388
DB00773 	 Q02880
DB00774 	 P43166
DB00774 	 Q16790
DB00774 	 Q13621
DB00774 	 P05023
DB00774 	 Q12791
DB00774 	 P00915
DB00774 	 P00918
DB00774 	 P22748
DB00774 	 O43570
DB00775 	 P08514
DB00775 	 P05106
DB00776 	 P35498
DB00777 	 P35367
DB00777 	 P11229
DB00777 	 P35348
DB00777 	 P14416
DB00777 	 P28223
DB00777 	 P28335
DB00778 	 P0A7J6
DB00778 	 P08183
DB00780 	 P21397
DB00780 	 P27338
DB00780 	 Q16853
DB00780 	 P80404
DB00780 	 P24298
DB00780 	 Q8TD30
DB00780 	 Q9UGI5
DB00782 	 P11229
DB00783 	 P03372
DB00783 	 Q92731
DB00783 	 O75469
DB00783 	 P43681
DB00783 	 Q99527
DB00783 	 P00846
DB00783 	 Q14457
DB00784 	 P35354
DB00784 	 P23219
DB00785 	 P08172
DB00785 	 P08588
DB00786 	 P03956
DB00786 	 P08253
DB00786 	 P08254
DB00786 	 P09237
DB00786 	 P22894
DB00786 	 P14780
DB00786 	 P09238
DB00786 	 P24347
DB00786 	 P39900
DB00786 	 P45452
DB00786 	 P50281
DB00786 	 P51511
DB00786 	 P51512
DB00786 	 Q9ULZ9
DB00786 	 Q99542
DB00786 	 O60882
DB00786 	 Q8N119
DB00786 	 O75900
DB00786 	 Q9Y5R2
DB00786 	 Q9NPA2
DB00786 	 Q9NRE1
DB00786 	 Q9H306
DB00786 	 Q9H239
DB00787 	 P03176
DB00787 	 P04293
DB00787 	 P09252
DB00788 	 P23219
DB00788 	 Q51911
DB00788 	 P35354
DB00789 	 P52209
DB00790 	 P12821
DB00790 	 Q6FHJ7
DB00792 	 P35367
DB00794 	 P14867
DB00794 	 P47869
DB00794 	 P34903
DB00794 	 P48169
DB00794 	 P31644
DB00794 	 Q16445
DB00794 	 P43681
DB00794 	 P36544
DB00794 	 P42262
DB00794 	 Q13002
DB00794 	 P14867
DB00795 	 P09917
DB00795 	 P35354
DB00795 	 P23219
DB00795 	 P37231
DB00795 	 O15111
DB00795 	 O14920
DB00795 	 Q9UPY5
DB00795 	 P24752
DB00795 	 P24557
DB00795 	 P04054
DB00796 	 P30556
DB00797 	 P35348
DB00797 	 P08913
DB00797 	 P35367
DB00797 	 P25021
DB00797 	 P18825
DB00797 	 P18089
DB00798 	 P0A7S3
DB00798 	 P98164
DB00798 	 P08164
DB00798 	 P00374
DB00799 	 P10276
DB00799 	 P28702
DB00799 	 P13631
DB00799 	 P10826
DB00800 	 P21918
DB00800 	 P21728
DB00800 	 P18089
DB00800 	 P18825
DB00800 	 P08913
DB00800 	 P35368
DB00800 	 P25100
DB00800 	 P35348
DB00801 	 P14867
DB00801 	 P14867
DB00802 	 P35372
DB00804 	 P11229
DB00804 	 P08172
DB00805 	 P21397
DB00805 	 P41595
DB00805 	 P28223
DB00805 	 P28335
DB00805 	 P22303
DB00805 	 P31645
DB00805 	 P21728
DB00805 	 P14416
DB00805 	 P11229
DB00806 	 P30542
DB00806 	 P29274
DB00806 	 P21589
DB00807 	 Q9Y5Y9
DB00808 	 P55017
DB00809 	 P08173
DB00809 	 P11229
DB00809 	 P08172
DB00809 	 P20309
DB00810 	 P11229
DB00811 	 P20839
DB00811 	 P12268
DB00811 	 P26676
DB00811 	 P16502
DB00811 	 P12823
DB00812 	 P35354
DB00812 	 Q16647
DB00812 	 P23219
DB00813 	 P35372
DB00813 	 P41143
DB00813 	 P41145
DB00813 	 P08183
DB00814 	 P35354
DB00814 	 P23219
DB00816 	 P07550
DB00817 	 P0AES6
DB00817 	 P0AFI2
DB00818 	 P47870
DB00818 	 P28472
DB00818 	 P35499
DB00818 	 Q99250
DB00818 	 P14867
DB00819 	 P00915
DB00819 	 P00918
DB00819 	 P22748
DB00819 	 O43570
DB00819 	 Q9ULX7
DB00819 	 P07451
DB00819 	 P43166
DB00819 	 P29972
DB00820 	 O76074
DB00820 	 Q9HCR9
DB00821 	 P35354
DB00821 	 P23219
DB00822 	 P05091
DB00822 	 P09172
DB00823 	 P06401
DB00823 	 P03372
DB00824 	 P27815
DB00824 	 Q07343
DB00824 	 P29275
DB00824 	 P30542
DB00824 	 P29274
DB00824 	 P0DMS8
DB00825 	 Q7Z2W7
DB00825 	 O75762
DB00825 	 Q8NET8
DB00825 	 P41145
DB00825 	 Q13936
DB00827 	 P43700
DB00828 	 P0A749
DB00829 	 P14867
DB00829 	 P14867
DB00830 	 P23975
DB00830 	 Q01959
DB00831 	 P14416
DB00831 	 Q9NYX4
DB00831 	 P35348
DB00831 	 P0DP23
DB00831 	 P63316
DB00831 	 P26447
DB00833 	 Q75Y35
DB00833 	 Q8XJ01
DB00834 	 P06401
DB00834 	 P04150
DB00834 	 P07288
DB00834 	 O75469
DB00835 	 P35367
DB00835 	 P11229
DB00835 	 P08172
DB00835 	 P20309
DB00835 	 P08173
DB00835 	 P08912
DB00836 	 P35372
DB00836 	 P41143
DB00836 	 P41145
DB00836 	 O00555
DB00836 	 P01189
DB00836 	 P0DP23
DB00836 	 Q14994
DB00837 	 Q9UBS5
DB00837 	 P14867
DB00838 	 P04150
DB00839 	 Q09428
DB00841 	 P08588
DB00841 	 P07550
DB00841 	 P35348
DB00841 	 P03372
DB00842 	 P14867
DB00842 	 P14867
DB00843 	 P22303
DB00843 	 P28223
DB00843 	 P06276
DB00843 	 P29475
DB00843 	 P98066
DB00843 	 P01584
DB00843 	 Q00653
DB00843 	 Q05586
DB00844 	 P41145
DB00844 	 P35372
DB00844 	 P41143
DB00845 	 P37231
DB00845 	 P22001
DB00846 	 P04150
DB00847 	 P61278
DB00847 	 P49146
DB00848 	 P32297
DB00848 	 P10696
DB00848 	 Q23022
DB00848 	 Q9N587
DB00848 	 Q27218
DB00848 	 P48181
DB00849 	 P14867
DB00849 	 P47869
DB00849 	 P34903
DB00849 	 P48169
DB00849 	 P31644
DB00849 	 Q16445
DB00849 	 P43681
DB00849 	 P36544
DB00849 	 P42262
DB00849 	 Q13002
DB00849 	 O75469
DB00850 	 P14416
DB00850 	 P21728
DB00850 	 P0DP23
DB00851 	 Q14181
DB00851 	 P52209
DB00852 	 P23975
DB00852 	 Q01959
DB00852 	 P35348
DB00852 	 P08913
DB00852 	 P31645
DB00852 	 P07550
DB00852 	 P08588
DB00852 	 O95644
DB00852 	 P01375
DB00852 	 P19838
DB00852 	 P18846
DB00852 	 P60568
DB00854 	 P35372
DB00854 	 P41143
DB00854 	 P41145
DB00855 	 P13716
DB00857 	 Q92206
DB00857 	 Q14534
DB00858 	 P10275
DB00860 	 P04150
DB00861 	 P35354
DB00861 	 P23219
DB00862 	 O76074
DB00862 	 P18545
DB00862 	 Q13956
DB00863 	 P25021
DB00863 	 P22303
DB00864 	 P62942
DB00865 	 Q05940
DB00865 	 P08913
DB00865 	 P35348
DB00865 	 Q01959
DB00866 	 P08588
DB00866 	 P07550
DB00866 	 P08908
DB00866 	 P13945
DB00867 	 P07550
DB00868 	 Q14524
DB00869 	 P00918
DB00869 	 P22748
DB00869 	 P00915
DB00869 	 P07451
DB00870 	 P23219
DB00870 	 P35354
DB00871 	 P07550
DB00871 	 P13945
DB00871 	 P08588
DB00872 	 P37288
DB00872 	 P30518
DB14596 	 P04150
DB00874 	 Q05586
DB00875 	 P14416
DB00875 	 P28223
DB00875 	 P21728
DB00875 	 P35348
DB00875 	 P11229
DB00876 	 P30556
DB00877 	 P42345
DB00877 	 P62942
DB00877 	 P09038
DB00879 	 Q72547
DB00880 	 P55017
DB00880 	 P00915
DB00880 	 P00918
DB00881 	 P12821
DB00882 	 P03372
DB00882 	 P04278
DB00883 	 P16066
DB00884 	 P14324
DB00886 	 P12821
DB00886 	 P08473
DB00887 	 Q13621
DB00887 	 P55011
DB00887 	 Q9UP95
DB00887 	 Q9H2X9
DB00887 	 P13569
DB00889 	 P46098
DB00890 	 P03372
DB00890 	 P04278
DB00891 	 Q49184
DB00892 	 Q9Y5Y9
DB00893 	 P68871
DB00893 	 P69905
DB00893 	 P02794
DB00893 	 P02792
DB00894 	 P11511
DB00895 	 P30273
DB00895 	 P12319
DB00896 	 P04150
DB00897 	 P14867
DB00897 	 P14867
DB00898 	 P14867
DB00898 	 Q8TCU5
DB00898 	 P23415
DB00898 	 P23416
DB00898 	 Q02641
DB00898 	 P46098
DB00898 	 P47869
DB00898 	 Q9GZZ6
DB00898 	 Q13936
DB00898 	 P31644
DB00898 	 P48169
DB00898 	 P34903
DB00898 	 P42261
DB00898 	 Q06432
DB00898 	 Q15822
DB00898 	 Q16445
DB00898 	 P42262
DB00898 	 P48058
DB00898 	 P42263
DB00898 	 P43681
DB00898 	 P17787
DB00898 	 P48549
DB00898 	 P48051
DB00898 	 P19320
DB00898 	 Q99808
DB00898 	 P48544
DB00898 	 P36544
DB00898 	 Q9UGM1
DB00898 	 P18505
DB00898 	 P28472
DB00898 	 P47870
DB00898 	 Q13698
DB00898 	 Q01668
DB00898 	 P30926
DB00898 	 P32297
DB00898 	 P30532
DB00898 	 Q15825
DB00898 	 Q05901
DB00898 	 Q8N1C3
DB00898 	 Q99928
DB00898 	 P78334
DB00898 	 O00591
DB00898 	 Q9UN88
DB00898 	 O14764
DB00898 	 Q14542
DB00898 	 A5X5Y0
DB00898 	 O95264
DB00898 	 Q70Z44
DB00898 	 Q8WXA8
DB00898 	 Q9Y698
DB00898 	 Q92806
DB00898 	 P32004
DB00899 	 P35372
DB00899 	 P41143
DB00899 	 P41145
DB00900 	 Q72547
DB00900 	 P00491
DB00901 	 P07550
DB00902 	 P35367
DB00903 	 P05023
DB00903 	 Q13621
DB00903 	 Q9UJU2
DB00903 	 P09211
DB00904 	 P46098
DB00904 	 Q13639
DB00904 	 P35372
DB00904 	 P08908
DB00904 	 P28222
DB00905 	 P43088
DB00905 	 P34995
DB00905 	 P43115
DB00906 	 P30531
DB00907 	 Q01959
DB00907 	 P23975
DB00907 	 P35498
DB00907 	 P31645
DB00907 	 P11229
DB00907 	 P08172
DB00907 	 Q99720
DB00907 	 P23141
DB00908 	 Q14524
DB00908 	 O00180
DB00908 	 Q9Y257
DB00908 	 Q12809
DB00908 	 P35348
DB00908 	 P35368
DB00908 	 P25100
DB00909 	 P35498
DB00909 	 Q99250
DB00909 	 Q9NY46
DB00909 	 P35499
DB00909 	 Q14524
DB00909 	 Q15858
DB00909 	 Q9UI33
DB00909 	 Q07699
DB00909 	 O60939
DB00909 	 Q9NY72
DB00909 	 Q8IWT1
DB00909 	 O43497
DB00909 	 O95180
DB00909 	 Q9P0X4
DB00909 	 P00915
DB00909 	 P00918
DB00909 	 P07451
DB00909 	 P22748
DB00909 	 P35218
DB00909 	 Q9Y2D0
DB00909 	 P23280
DB00909 	 P43166
DB00909 	 P35219
DB00909 	 Q16790
DB00909 	 Q9NS85
DB00909 	 O75493
DB00909 	 O43570
DB00909 	 Q8N1Q1
DB00909 	 Q9ULX7
DB00909 	 P27338
DB00909 	 P21397
DB00910 	 P11473
DB00912 	 Q09428
DB00912 	 P37231
DB00913 	 P35372
DB00914 	 Q13131
DB00914 	 Q15842
DB00915 	 P21430
DB00915 	 Q8TCU5
DB00915 	 P36544
DB00915 	 P14416
DB00915 	 P43681
DB00915 	 P32297
DB00916 	 O25608
DB00917 	 P43116
DB00917 	 P34995
DB00917 	 P43115
DB00917 	 P35408
DB00917 	 Q9Y5Y4
DB00918 	 P28222
DB00918 	 P28221
DB00919 	 P0A7S3
DB00920 	 P35367
DB00920 	 P52209
DB00921 	 P35372
DB00921 	 P41145
DB00921 	 P41143
DB00921 	 P41146
DB00922 	 P63316
DB00922 	 Q14654
DB00922 	 Q15842
DB00922 	 Q14432
DB00923 	 Q70KI2
DB00924 	 P28223
DB00924 	 P41595
DB00924 	 P28335
DB00924 	 P50406
DB00924 	 P31645
DB00924 	 P23975
DB00924 	 P34969
DB00924 	 O00206
DB00924 	 Q06278
DB00925 	 P35348
DB00925 	 P08913
DB00925 	 P18825
DB00925 	 P18089
DB00925 	 P0DP23
DB00925 	 P07550
DB00925 	 P35368
DB00925 	 P25100
DB00926 	 P10276
DB00926 	 P19793
DB00926 	 P10826
DB00926 	 P48443
DB00926 	 P28702
DB00926 	 P13631
DB00927 	 P25021
DB00928 	 P26358
DB00929 	 P43115
DB00929 	 P43116
DB00929 	 P35408
DB00929 	 P34995
DB00932 	 Q72874
DB00933 	 P28223
DB00933 	 P14416
DB00934 	 P23975
DB00934 	 P35367
DB00934 	 P11229
DB00934 	 P08172
DB00934 	 P20309
DB00934 	 P08173
DB00934 	 P08912
DB00934 	 P35348
DB00934 	 P28223
DB00934 	 P28335
DB00934 	 P34969
DB00934 	 P14416
DB00934 	 P08913
DB00935 	 P35348
DB00935 	 P08913
DB00935 	 P18825
DB00935 	 P18089
DB00935 	 P35368
DB00935 	 P25100
DB00936 	 P23219
DB00936 	 P35354
DB00936 	 Q04828
DB00937 	 P23975
DB00937 	 Q01959
DB00938 	 P07550
DB00938 	 P08588
DB00938 	 P13945
DB00939 	 P23219
DB00939 	 P35354
DB00939 	 P09917
DB00939 	 O43526
DB00939 	 O43525
DB00940 	 P11229
DB00940 	 P25021
DB00940 	 P08172
DB00940 	 P20309
DB00940 	 P08173
DB00940 	 P08912
DB00941 	 P06276
DB00942 	 P11229
DB00943 	 Q72547
DB00944 	 P22303
DB00944 	 P06276
DB00945 	 P23219
DB00945 	 P35354
DB00945 	 Q04828
DB00945 	 Q13131
DB00945 	 P25101
DB00945 	 P04637
DB00945 	 P11021
DB00945 	 P51812
DB00945 	 P25963
DB00945 	 P98066
DB00945 	 P29466
DB00945 	 P42574
DB00945 	 O14920
DB00945 	 P28482
DB00945 	 P24385
DB00945 	 P01106
DB00945 	 P12004
DB00946 	 Q9BQB6
DB00947 	 P03372
DB00948 	 Q8XJ01
DB00948 	 Q75Y35
DB00948 	 P0AD65
DB00949 	 Q13224
DB00949 	 Q12879
DB00950 	 P35367
DB00951 	 P9WIE5
DB00951 	 P9WGR1
DB00951 	 P10632
DB00951 	 P05177
DB00951 	 P08684
DB00951 	 P33261
DB00951 	 P9WNX1
DB00952 	 P28221
DB00952 	 P28222
DB00952 	 P30939
DB00952 	 P08908
DB00953 	 P28221
DB00953 	 P28222
DB00953 	 P30939
DB00955 	 P0A7S3
DB00956 	 P35372
DB00956 	 P41143
DB00956 	 Q99720
DB00957 	 P06401
DB00957 	 P10275
DB00957 	 P03372
DB00959 	 P04150
DB00959 	 P04083
DB00960 	 P08588
DB00960 	 P07550
DB00960 	 P08908
DB00960 	 P28222
DB00960 	 P13945
DB00961 	 Q9Y5Y9
DB00962 	 P14867
DB00963 	 P35354
DB00963 	 P23219
DB00964 	 P08913
DB00964 	 P35348
DB00964 	 P18089
DB00966 	 P30556
DB00966 	 P37231
DB00967 	 P35367
DB00968 	 P08913
DB00968 	 P20711
DB00969 	 P46098
DB00970 	 P11388
DB00972 	 P35367
DB00972 	 P25021
DB00972 	 P04054
DB00972 	 Q16873
DB00973 	 Q9UHC9
DB00973 	 P35610
DB00973 	 P15144
DB00975 	 Q9Y233
DB00975 	 P00813
DB00975 	 O76074
DB00975 	 P27815
DB00975 	 P53805
DB00975 	 P02763
DB00977 	 P03372
DB00977 	 O75469
DB00978 	 P43702
DB00978 	 P43700
DB00978 	 P11388
DB00979 	 P11229
DB00980 	 P48039
DB00980 	 P49286
DB00981 	 P22303
DB00981 	 P43681
DB00981 	 P17787
DB00982 	 P10276
DB00982 	 P13631
DB00983 	 P07550
DB00983 	 P08588
DB00983 	 P13945
DB00984 	 P10275
DB00985 	 P35367
DB00986 	 P11229
DB00986 	 P20309
DB00986 	 P08172
DB00987 	 P06746
DB00988 	 P14416
DB00988 	 P21728
DB00988 	 P21918
DB00988 	 P35462
DB00988 	 P21917
DB00988 	 Q01959
DB00988 	 P09172
DB00988 	 P08908
DB00988 	 P34969
DB00988 	 P21728
DB00988 	 P23975
DB00988 	 P31645
DB00988 	 P46098
DB00988 	 O95264
DB00988 	 P00441
DB00988 	 Q05940
DB00989 	 P22303
DB00989 	 P06276
DB00990 	 P11511
DB00991 	 P23219
DB00991 	 P35354
DB00993 	 P63000
DB00994 	 P0A7S3
DB00994 	 P41180
DB00995 	 P30044
DB00995 	 O14920
DB00996 	 P54289
DB00996 	 Q9NY47
DB00996 	 A0A024R8I1
DB00996 	 P30542
DB00996 	 O43525
DB00996 	 Q9NR82
DB00997 	 P11388
DB00997 	 Q14978
DB00998 	 P28221
DB00998 	 P28222
DB00999 	 P55017
DB00999 	 Q12791
DB01000 	 Q8DR59
DB01000 	 Q75Y35
DB01000 	 C1KC03
DB01000 	 P0AEB2
DB01001 	 P07550
DB01001 	 P08588
DB01001 	 P13945
DB01002 	 Q9Y5Y9
DB01003 	 P25815
DB01004 	 P04293
DB01004 	 P03176
DB01005 	 P23921
DB01006 	 P11511
DB01007 	 P10613
DB01007 	 Q16850
DB01009 	 P23219
DB01009 	 P35354
DB01009 	 P25024
DB01010 	 P22303
DB01010 	 P06276
DB01011 	 P15538
DB01011 	 P00183
DB01012 	 P41180
DB01013 	 P04150
DB01013 	 P04083
DB01013 	 P08235
DB01014 	 P37231
DB01014 	 P35354
DB01014 	 P23219
DB01014 	 P09917
DB01015 	 P0AC13
DB01016 	 Q09428
DB01016 	 O60706
DB01016 	 O95342
DB01016 	 O95477
DB01016 	 Q14654
DB01016 	 P50416
DB01016 	 P13569
DB01016 	 Q8TD43
DB01017 	 P0A7X3
DB01017 	 P0A7V8
DB01017 	 P01584
DB01017 	 P09917
DB01017 	 P14780
DB01017 	 P15692
DB01017 	 P29466
DB01017 	 P42574
DB01017 	 P99999
DB01017 	 P28482
DB01017 	 P35228
DB01018 	 P08913
DB01018 	 P18089
DB01019 	 P08172
DB01019 	 P11229
DB01019 	 P20309
DB01019 	 P08173
DB01020 	 P33402
DB01021 	 P55017
DB01021 	 P05023
DB01021 	 P00915
DB01021 	 P00918
DB01021 	 P22748
DB01022 	 P38435
DB01022 	 P02818
DB01023 	 Q13936
DB01023 	 P54289
